"検索件数","63"
"受渡日","2021/10/1-2026/7/12"
"種類","すべて"
"口座","すべて"

"口座","受取額(税引後・円)"
"特定/一般","69,020.94"
"NISA（成長投資枠）","125,044.23"
"合計","194,065.18"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後・円)"
"2026/6/12","NISA（成長投資枠）","米国株式","トーム A TRMD","70","7,820.89"
"2026/6/12","特定/一般","米国株式","トーム A TRMD","27","2,410.11"
"2026/6/12","特定/一般","米国株式","CMB テック CMBT","40","715.93"
"2026/6/10","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,842.79"
"2026/5/1","特定/一般","米国株式","アルトリア グループ MO","20","2,417.94"
"2026/5/1","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,520.58"
"2026/4/23","特定/一般","米国株式","CMB テック CMBT","40","569.55"
"2026/3/26","NISA（成長投資枠）","米国株式","トーム A TRMD","70","7,725.34"
"2026/3/26","特定/一般","米国株式","トーム A TRMD","27","2,385.39"
"2026/3/11","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,667.48"
"2026/1/19","特定/一般","米国株式","CMB テック CMBT","40","179.64"
"2026/1/13","特定/一般","米国株式","アルトリア グループ MO","20","2,384.25"
"2026/1/13","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,489.57"
"2025/12/10","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,627.7"
"2025/12/4","NISA（成長投資枠）","米国株式","トーム A TRMD","53","5,088.04"
"2025/12/4","特定/一般","米国株式","トーム A TRMD","27","2,070.21"
"2025/10/14","特定/一般","米国株式","アルトリア グループ MO","20","2,314.8"
"2025/10/14","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,450.93"
"2025/10/10","特定/一般","米国株式","CMB テック CMBT","40","172.98"
"2025/9/10","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,425.05"
"2025/9/4","NISA（成長投資枠）","米国株式","トーム A TRMD","53","3,133.14"
"2025/9/4","特定/一般","米国株式","トーム A TRMD","27","1,275.42"
"2025/7/11","特定/一般","米国株式","アルトリア グループ MO","20","2,128.43"
"2025/7/11","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,330.09"
"2025/6/11","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,362.81"
"2025/6/5","NISA（成長投資枠）","米国株式","トーム A TRMD","53","3,031.6"
"2025/6/5","特定/一般","米国株式","トーム A TRMD","27","1,232.66"
"2025/5/8","特定/一般","米国株式","ステランティス STLA","10","761.19"
"2025/5/1","特定/一般","米国株式","アルトリア グループ MO","20","2,078.24"
"2025/5/1","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,299.61"
"2025/4/3","NISA（成長投資枠）","米国株式","トーム A TRMD","53","4,733.11"
"2025/4/3","特定/一般","米国株式","トーム A TRMD","27","1,920.03"
"2025/3/5","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,309.16"
"2025/1/14","特定/一般","米国株式","アルトリア グループ MO","20","2,304.25"
"2025/1/14","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,442.91"
"2024/12/11","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,360.05"
"2024/12/5","NISA（成長投資枠）","米国株式","トーム A TRMD","53","9,464.95"
"2024/12/5","特定/一般","米国株式","トーム A TRMD","27","3,854.43"
"2024/10/11","特定/一般","米国株式","アルトリア グループ MO","20","2,174.2"
"2024/10/11","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,362.4"
"2024/9/12","NISA（成長投資枠）","米国株式","トーム A TRMD","53","13,462.84"
"2024/9/12","特定/一般","米国株式","トーム A TRMD","27","5,483.92"
"2024/9/11","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,181.26"
"2024/7/19","特定/一般","米国株式","ユーロナブ EURN","40","940"
"2024/7/11","特定/一般","米国株式","アルトリア グループ MO","20","2,263.75"
"2024/7/11","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,416.05"
"2024/6/5","NISA（成長投資枠）","米国株式","トーム A TRMD","53","12,359.86"
"2024/6/5","特定/一般","米国株式","トーム A TRMD","27","5,018.57"
"2024/6/5","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,470.09"
"2024/6/4","特定/一般","米国株式","ユーロナブ EURN","40","940.66"
"2024/5/7","特定/一般","米国株式","ステランティス STLA","10","1,736.01"
"2024/5/1","特定/一般","米国株式","アルトリア グループ MO","20","2,201.3"
"2024/5/1","NISA（成長投資枠）","米国株式","アルトリア グループ MO","10","1,375.03"
"2024/4/25","NISA（成長投資枠）","米国株式","トーム A TRMD","53","11,090.22"
"2024/4/25","特定/一般","米国株式","トーム A TRMD","27","4,515.79"
"2024/3/6","NISA（成長投資枠）","米国株式","ジョンソン & ジョンソン JNJ","20","3,200.57"
"2024/1/11","特定/一般","米国株式","アルトリア グループ MO","20","2,028.9"
"2023/12/21","特定/一般","米国株式","ユーロナブ EURN","10","457.69"
"2023/12/6","特定/一般","米国株式","トーム A TRMD","25","4,261.73"
"2023/10/11","特定/一般","米国株式","アルトリア グループ MO","15","1,560.13"
"2023/9/13","特定/一般","米国株式","トーム A TRMD","20","3,495.82"
"2023/7/27","特定/一般","米国株式","シスコ システムズ CSCO","10","393.7"
"2023/4/27","特定/一般","米国株式","シスコ システムズ CSCO","10","373.16"

